file_name,transcription
bur_7865_1250917969.wav,ပြီးတော့ တရုတ် နဲ့လည်း ချစ်ကြည်ရင်းနှီးတဲ့ ဆက်ဆံရေး ရှိတယ်
bur_8698_6883351313.wav,အဲ့ဒီ ဝေဖန်မှုတွေ နဲ့ ပတ်သက် လို့ ဘယ်လို တုံ့ပြန်ချင်ပါသလဲ
bur_3260_8853590661.wav,မမီ မွေးဖွားနေတဲ့ အချိန် မှာတော့ ဘုရား ဂုဏ်တော် ကိုပဲ တောက်လျှောက် ရွတ်နေခဲ့ပါတယ်
bur_2446_1980151079.wav,ခင်ဦးသာ နှင့် နန်းလွင်နှင်းပွင့် ပူးပေါင်း ရေးသားသည်
bur_5189_8958061789.wav,ကြည့်ရသည်မှာ မြန်မာ နိုင်ငံ တွင် သူ့ အတွက် ခိုလှုံရာ တခု တွေ့ခဲ့ပုံ ရပါသည်
bur_6884_6350507293.wav,မမဖွေးဖွေး နဲ့ တွေ့ရ တော့ တအား ပျော်တယ် လို့ ပြောပါတယ်
bur_5362_7563127136.wav,အထူးသဖြင့် နိုင်ငံရေး လောက ကို စုစည်းနိုင်ခဲ့သည် ဟု ဆိုနိုင်ပါသည်
bur_7543_6156096513.wav,ကဖင်း မပါဝင်သော ကော်ဖီ သောက်ပါ
bur_8266_0671510151.wav,ကောလင်း မြို့နယ် ရေကြီးတာ က ဆည်ကျိုး လို့ မဟုတ်ဘူး
bur_6118_8081481703.wav,ကျွန်မ အလုပ် ကို လေးလေးစားစား လုပ်ပါတယ်
bur_8266_7258038860.wav,ပြီးတော့ ချောက်ချားတတ်တဲ့ စိတ် နဲ့လည်း ဖြစ်တတ်တယ်
bur_5903_8368136899.wav,လူငယ် ဆန်ဆန် ပေါ့ပေါ့ပါးပါးလေး ပါပဲ လို့ ပြောပါတယ်
bur_5362_6868203464.wav,ဓာတ်ပုံ ဆိုတာ က ခေတ် ကို အမြဲတမ်း မှတ်တမ်း တင်နေတဲ့ သမိုင်း ပေါ့
bur_5362_6807683568.wav,ဒီ ကို ရောက်သွားတာ နဲ့ သိပ် မကြာဘူး ဝတာပဲ သူတို့ ဆီမှာ က နွေရာသီ ရောက်နေပြီ
bur_5362_4220818337.wav,အရင် ကလည်း ပျောက်နေ ပြီးတော့ အခု အောက်တိုဘာ လဆန်းပိုင်း က စ ပြီး အများဆုံး တွေ့လာရတာ ဖြစ်ပါတယ်
bur_5362_7963480628.wav,သူတို့ ကလည်း နိုင်ငံတကာ မထွက်ခဲ့ရဘူး
bur_2446_1488963250.wav,အဆိုပါ အမှု နှင့် ပတ်သက် ၍ ကြည်လင်း ထံသို့ ဖုန်း ဖြင့် အကြိမ်ကြိမ် ဆက်သွယ် မေးမြန်းခဲ့ သော်လည်း ဆက်သွယ်မှု မရရှိခဲ့ပေ
bur_5362_7613619256.wav,အဲဒီတော့ ပေါက်စီ က အလုပ်လုပ်မှ ဖြစ်မယ်လေ
bur_6118_4146781274.wav,ကောလာဟလများ မကြာမီ တမြို့လုံး ပျံ့တော့မှာ ဖြစ်သည်
bur_5362_2569258081.wav,ကျွန်တော်တို့ ရဲ့ အဓိက ပြဿနာ က အခွင့်အရေးတွေ ကို အသုံးမချနိုင်ခဲ့တာ ပါ
bur_2446_1734481705.wav,ဖြေ အကယ်ဒမီ နဲ့ ပတ်သက် ပြီး ပြောရတော့မယ် ဆိုရင် နှစ်ပိုင်း ရှိပါတယ်
bur_7543_6163568609.wav,ဆရာ ကျနော် ဒီ မှာ ရောက်နေ တုန်း ကျောင်းထွက်လက်မှတ် ယူသွားချင်လို့
bur_4632_3731295003.wav,ယင်း သည်ပင် သတင်းစာ နှင့် လက်တွေ့ အနေအထား တွဲစပ်နေခြင်း ဟု ဆိုနိုင်ပေမည်
bur_5362_4750612979.wav,လူသတ် တရားခံ ကောင်လေး က တွံတေး နေတယ်
bur_7712_0775045057.wav,ကောင်းတာတွေ ရော ဆိုးတာတွေ ရော ဆွေးနွေးကြမှာပါ
bur_5932_4201714859.wav,ဆြာကလိ ကြက်တူရွေး လှောင်ချိုင့် တံခါး ကို ဖွင့် ကာ အတွင်း သို့ အော်ထည့်သည်
bur_9135_0513315084.wav,အဲဒီ့ မှာ အရက် ပမာဏ လွန်ကဲတာ က အသက် အန္တရာယ် အထိ ဖြစ်သွားနိုင်ပါတယ်
bur_6118_2023998117.wav,မြန်မာ နိုင်ငံ စစ်ကိုင်းသား ကျွန်တော် သည် ရန်ကုန် မြို့ တွင် သာ အနေ ကြာခဲ့သည်
bur_4409_1237170838.wav,ဘာမှ မခြားဘူး ဆိုတော့ မကြောက်ဘဲ နေမလား
bur_7712_8624877004.wav,အထူးသဖြင့် မြို့လယ် နေရာများ တွင် ပိုမို ဈေးတက်လာခဲ့သည်
bur_7712_0734976172.wav,တောင် အမေရိက ဇုန် ခြေစစ်ပွဲ နှစ်ပွဲ တွင် ဥရုဂွေး နှင့် အီကွေဒေါ နှစ်သင်း မှာ နှစ်ပွဲစလုံး နိုင် ပြီး အုပ်စု ထိပ်ဆုံး မှ ဦးဆောင်နေသည်
bur_5932_8780690358.wav,သူတို့ ၏ နိုင်ငံရေး အနာဂတ် ပျောက်အောင် ပြုလုပ်နေခြင်းမျိုး ဖြစ်နေသည်
bur_9135_9276551733.wav,သူရို့ ကို ပဲခူးရိုးမ ပေါက်ခေါင်းမှာရှိရဲ့ဗဟိုဌာနချုပ်အထိသွားခွင့်ပေးခဲ့တယ်
bur_6118_0315529325.wav,ထို့အတူ ပဲ မြန်မာ စကား အသံထွက် ကလည်း ခက်ပါ တယ်
bur_2446_8361631610.wav,လုံခြုံရေး အတွက် ရဲတပ်ဖွဲ့ဝင် အင်အား ဘယ်လောက် သုံးထားလဲ
bur_5903_3648063827.wav,အနေအထား က ဘော့စနီးယား ထက် စာ လျှင် နိုက်ဂျီးရီးယား အတွက် အားသာမှု တစ်ခု ဟု ပြောရမလို ဖြစ်နေသည်
bur_6118_1326199356.wav,ဒီ ဥယျာဉ်လေး မှာ သူ့ ရဲ့ တယောသံ မကြားဘဲနှင့် နေနိုင်နေပြီလား
bur_5903_0256000065.wav,လူ ဆိုတာ ကိုယ်ကျိုးစွန့်တဲ့ စိတ် နဲ့ အများ အတွက် အနစ်နာခံတဲ့ စိတ်ကလေး မှ မပါရင် အခြား သတ္တဝါတွေ နဲ့ ဘာ ထူးမှာလဲ
bur_4409_5789452557.wav,ဦး အနေနဲ့ ဒီ ကား မှာ ဓာတ်ပုံပိုင်း ကို အားရတယ်
bur_5189_0145018221.wav,ဇူလိုင် လကုန်လောက် မြန်မာ့ ရုပ်မြင်သံကြား မှာ ပရိုဂရမ် တခု အနေနဲ့ စမယ်
bur_5932_2635260962.wav,အဲဒီ့လို လုပ်ဖို့ က ကျုပ် တယောက်တည်း နဲ့ မပြီးဘူးလေ
bur_0366_6402398746.wav,ပထမပိုင်း မှာ ဒိုင်တွေ ရဲ့ မှတ်ချက် က တော့ သိပ် ပြီး အားမရ သလို ရှိခဲ့တယ်နော်
bur_8266_1359230217.wav,ဦးခင်မောင်ရင် ရဲ့ စေတနာ ကို နားမလည်ကြဘူး
bur_4632_3558248128.wav,ထို့နောက် ဗိုလ်ထောင် ဘုရား သို့ ဆက်လက် သွားရောက်ကာ လည်ပတ် ဖူးမြော်ခဲ့ကြခြင်း ဖြစ်သည်
bur_0644_0716488921.wav,ကျွန်မ သရုပ်ဆောင်တဲ့ ရုပ်ရှင်ကား ရဲ့ ထုတ်လုပ်သူ က ဘရက်ပစ် ပါ
bur_0644_9659293520.wav,ဒီ ပွဲ လုပ်ဖို့ က တစ်နှစ်လောက် အချိန်ယူ ကြိုးစားခဲ့ရတယ်
bur_9762_4273090718.wav,ပိုမို ထိရောက်တဲ့ တုံ့ပြန်မှု ရပ်တည်မှု ပြနိုင်ရင် တော့ ပို ကောင်းတာပေါ့
bur_7712_9300006049.wav,တကယ်တော့ ဒီ နေရာတွေ က အခမ်းအနားတွေ ကျင်းပဖို့ သီးသန့် ဆောက်ထားတာပါ
bur_7712_6850137599.wav,ဒါပေမဲ့ အိုင်ဖုန်း အသစ်တွေ မှာ ပါတဲ့ မူလ ကင်မရာ ဟာ တခြား ထိပ်တန်း အန်းဒရွိုက်ဖုန်းတွေ ရဲ့ ကင်မရာတွေ လို မဟုတ်ပါဘူး
bur_9762_8038974974.wav,ရွာ ထိပ် ဆိုင်းဘုတ် ဘေး တွင် ငါးမွေးမြူရေး ကန်ကြီး ရှိသည်
bur_4409_3704712637.wav,တကယ်တော့ ကောင်လေး က ကျွန်မ စာတိုပေစလေးတွေ ရေးတယ် ဆိုတာ မသိပါဘူး
bur_3260_5590932108.wav,ခက်တဲ့ သီချင်း ဆို မှ ပရိသတ် ကြိုက်တာ မဟုတ်ပါဘူး
bur_5362_9661610841.wav,ဒီ အချိန် မှာ ရေဘေးသင့် ပြည်သူတွေ အတွက် လှူဒါန်းတဲ့ အလှူရှင်တွေ ကိုလည်း တကယ် ကို ကျေးဇူးတင်ပါတယ်
bur_5903_7142520553.wav,နှစ်ကျပ် သုံးကျပ် ခေတ် မှ ယနေ့ ထမင်း တစ်ခါပြင် ကျပ်သုံးထောင်ခန့် ဖြစ်လာသည်
bur_8698_8301957188.wav,အဲ့ဒါကြောင့် လေလွင့် က သူ ချက်ခိုင်းတာ လို့ ပြောခိုင်းတာ
bur_6118_3757292671.wav,အဲ့ဒီလို ရည်ရွယ်ချက် နဲ့ အများ အားကျရအောင် လုပ်ခဲ့တာ မဟုတ်ပါဘူး
